NC_005248	NC_005248.1	NC_005248.1	Escherichia coli plasmid pIGAL1, complete sequence
NG_048082	NG_048082.1	NG_048082.1	Pseudomonas aeruginosa R1033 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048086	NG_048086.1	NG_048086.1	Aeromonas salmonicida Ar-32 pAr-32 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048088	NG_048088.1	NG_048088.1	Morganella morganii subsp. morganii PP16 pM16 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048090	NG_048090.1	NG_048090.1	Salmonella enterica subsp. enterica serovar Typhimurium t-ST4 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048093	NG_048093.1	NG_048093.1	Klebsiella oxytoca MPDHA pMPDHA sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048095	NG_048095.1	NG_048095.1	Salmonella enterica subsp. enterica serovar Typhimurium 04-9275 unnamed sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048096	NG_048096.1	NG_048096.1	Klebsiella pneumoniae pKP227 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048097	NG_048097.1	NG_048097.1	Salmonella enterica subsp. enterica serovar Brandenburg pUO-SbR5 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048099	NG_048099.1	NG_048099.1	Klebsiella pneumoniae 12836 unnamed sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048100	NG_048100.1	NG_048100.1	Klebsiella pneumoniae pKT51748 sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048101	NG_048101.1	NG_048101.1	Enterobacter cloacae pEC-IMP sul1 gene for sulfonamide-resistant dihydropteroate synthase Sul1, complete CDS
NG_048106	NG_048106.1	NG_048106.1	Pasteurella multocida Pm1096 pIG1 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048108	NG_048108.1	NG_048108.1	Aliivibrio salmonicida VS224 pRVS1 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048109	NG_048109.1	NG_048109.1	Mannheimia varigena pMVSCS1 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048110	NG_048110.1	NG_048110.1	Shigella sonnei pKKTET7 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048111	NG_048111.1	NG_048111.1	Salmonella enterica subsp. enterica serovar Enteritidis expression vector pSY7K sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048112	NG_048112.1	NG_048112.1	Pasteurella multocida pVM111 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048115	NG_048115.1	NG_048115.1	Actinobacillus porcitonsillarum pKMA505 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048116	NG_048116.1	NG_048116.1	Actinobacillus pleuropneumoniae pPSAS1522 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048117	NG_048117.1	NG_048117.1	Bibersteinia trehalosi pCCK13698 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048118	NG_048118.1	NG_048118.1	Salmonella enterica subsp. enterica serovar Choleraesuis L-2454 pMAK1 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048119	NG_048119.1	NG_048119.1	[Haemophilus] parasuis YC0093 pYC93 sul2 gene for sulfonamide-resistant dihydropteroate synthase Sul2, complete CDS
NG_048120	NG_048120.1	NG_048120.1	Escherichia coli pVP440 sul3 gene for sulfonamide-resistant dihydropteroate synthase Sul3, complete CDS
NG_048123	NG_048123.1	NG_048123.1	Aeromonas salmonicida subsp. salmonicida 92/2298 pRAS2 tet(31) gene for tetracycline efflux MFS transporter Tet(31), complete CDS
NG_048127	NG_048127.1	NG_048127.1	Corynebacterium glutamicum LP-6 pTET3 tet(33) gene for tetracycline efflux MFS transporter Tet(33), complete CDS
NG_048137	NG_048137.1	NG_048137.1	Acinetobacter sp. LUH5605 ptet5605 tet(39) gene for tetracycline efflux MFS transporter Tet(39), complete CDS
NG_048148	NG_048148.1	NG_048148.1	Pseudomonas aeruginosa RP4 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048151	NG_048151.1	NG_048151.1	Escherichia coli pTOJO2 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048152	NG_048152.1	NG_048152.1	Escherichia coli pDEWT1 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048153	NG_048153.1	NG_048153.1	Shigella sonnei pSS4 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048154	NG_048154.1	NG_048154.1	Salmonella enterica subsp. enterica serovar Enteritidis expression vector pSY7K tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048157	NG_048157.1	NG_048157.1	Klebsiella pneumoniae pQKp274H tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048159	NG_048159.1	NG_048159.1	Klebsiella pneumoniae KP96 pKP96 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048161	NG_048161.1	NG_048161.1	Shigella flexneri 2b 222 R100 tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
NG_048170	NG_048170.1	NG_048170.1	[Haemophilus] parasuis HS1543 pHS-Tet tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
NG_048171	NG_048171.1	NG_048171.1	Actinobacillus pleuropneumoniae APP11745 p11745 tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
NG_048173	NG_048173.1	NG_048173.1	Pasteurella multocida BB1034 pB1001 tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
NG_048174	NG_048174.1	NG_048174.1	Francisella tularensis LVS pOM1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_048175	NG_048175.1	NG_048175.1	Salmonella enterica subsp. enterica serovar Typhimurium R46 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_048176	NG_048176.1	NG_048176.1	Aeromonas salmonicida subsp. salmonicida pRAS3.1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_048177	NG_048177.1	NG_048177.1	Aeromonas salmonicida pRAS3.2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_048179	NG_048179.1	NG_048179.1	Escherichia coli invasion plasmid pIS2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_048187	NG_048187.1	NG_048187.1	Aliivibrio salmonicida VS201 pRVS1 tet(E) gene for tetracycline efflux MFS transporter Tet(E), complete CDS
NG_048188	NG_048188.1	NG_048188.1	Aeromonas salmonicida 90644 pYA90644 tet(E) gene for tetracycline efflux MFS transporter Tet(E), complete CDS
NG_048191	NG_048191.1	NG_048191.1	Vibrio anguillarum pJA8122 tet(G) gene for tetracycline efflux MFS transporter Tet(G), complete CDS
NG_048194	NG_048194.1	NG_048194.1	Pasteurella multocida pPMT1 tet(H) gene for tetracycline efflux MFS transporter Tet(H), complete CDS
NG_048195	NG_048195.1	NG_048195.1	Mannheimia haemolytica pPHT1 tet(H) gene for tetracycline efflux MFS transporter Tet(H), complete CDS
NG_048197	NG_048197.1	NG_048197.1	Psychrobacter maritimus MR29-12 pKLH80 tet(H) gene for tetracycline efflux MFS transporter Tet(H), complete CDS
NG_048200	NG_048200.1	NG_048200.1	Staphylococcus aureus pT181 tet(K) gene for tetracycline efflux MFS transporter Tet(K), complete CDS
NG_048203	NG_048203.1	NG_048203.1	Streptococcus agalactiae pLS1 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048205	NG_048205.1	NG_048205.1	Staphylococcus hyicus pSTE1 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048207	NG_048207.1	NG_048207.1	Streptococcus agalactiae pMV158 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048208	NG_048208.1	NG_048208.1	Lactobacillus sakei Rits9 pLS55 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048209	NG_048209.1	NG_048209.1	Paenibacillus larvae 67E pMA67 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048210	NG_048210.1	NG_048210.1	Bacillus sp. 24 pBHS24 tet(L) gene for tetracycline efflux MFS transporter Tet(L), complete CDS
NG_048225	NG_048225.1	NG_048225.1	Lactobacillus plantarum 5057 pMD5057 tet(M) gene for tetracycline resistance ribosomal protection protein Tet(M), complete CDS
NG_048233	NG_048233.1	NG_048233.1	Enterococcus faecium pYA470-4 tet(M) gene for tetracycline resistance ribosomal protection protein Tet(M), complete CDS
NG_048256	NG_048256.1	NG_048256.1	Campylobacter jejuni pCjA13 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS
NG_048259	NG_048259.1	NG_048259.1	Campylobacter coli pCC31 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS
NG_048260	NG_048260.1	NG_048260.1	Campylobacter jejuni subsp. jejuni 81-176 pTet tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS
NG_048263	NG_048263.1	NG_048263.1	Campylobacter jejuni CG8245 pCG8245 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS
NG_048264	NG_048264.1	NG_048264.1	Actinobacillus pleuropneumoniae 13142 p13142 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS
NG_048272	NG_048272.1	NG_048272.1	Bifidobacterium longum B200304 pBIF10 tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS
NG_048311	NG_048311.1	NG_048311.1	Corynebacterium glutamicum 22243 R-plasmid pAG1 tet(Z) gene for tetracycline efflux MFS transporter Tet(Z), complete CDS
NG_048317	NG_048317.1	NG_048317.1	Corynebacterium striatum M82B pTP10 tetAB_B gene for tetracycline efflux ABC transporter TetAB subunit B, complete CDS
NG_048331	NG_048331.1	NG_048331.1	Enterococcus faecalis BM4382 pIP834 vanB gene for D-alanine--(R)-lactate ligase VanB, complete CDS
NG_048341	NG_048341.1	NG_048341.1	Enterococcus faecalis pMG2200 vanB gene for D-alanine--(R)-lactate ligase VanB, complete CDS
NG_048372	NG_048372.1	NG_048372.1	Enterococcus faecalis pSL1 vanH-A gene for D-lactate dehydrogenase VanH-A, complete CDS
NG_048376	NG_048376.1	NG_048376.1	Enterococcus faecalis BM4382 pIP834 vanH-B gene for D-lactate dehydrogenase VanH-B, complete CDS
NG_048378	NG_048378.1	NG_048378.1	Enterococcus faecalis pMG2200 vanH-B gene for D-lactate dehydrogenase VanH-B, complete CDS
NG_048429	NG_048429.1	NG_048429.1	Enterococcus faecalis BM4382 pIP834 vanS gene for VanB-type vancomycin resistance histidine kinase VanS, complete CDS
NG_048449	NG_048449.1	NG_048449.1	Enterococcus faecalis pMG2200 vanS gene for VanB-type vancomycin resistance histidine kinase VanS, complete CDS
NG_048476	NG_048476.1	NG_048476.1	Enterococcus faecium pUW786 vanX-A gene for D-Ala-D-Ala dipeptidase VanX-A, complete CDS
NG_048477	NG_048477.1	NG_048477.1	Enterococcus faecalis pSL1 vanX-A gene for D-Ala-D-Ala dipeptidase VanX-A, complete CDS
NG_048482	NG_048482.1	NG_048482.1	Enterococcus faecalis BM4382 pIP834 vanX-B gene for D-Ala-D-Ala dipeptidase VanX-B, complete CDS
NG_048486	NG_048486.1	NG_048486.1	Enterococcus faecalis pMG2200 vanX-B gene for D-Ala-D-Ala dipeptidase VanX-B, complete CDS
NG_048519	NG_048519.1	NG_048519.1	Enterococcus faecalis BM4382 pIP834 vanY-B gene for D-Ala-D-Ala carboxypeptidase VanY-B, complete CDS
NG_048534	NG_048534.1	NG_048534.1	Enterococcus faecalis pSL1 vanZ-A gene for glycopeptide resistance protein VanZ-A, complete CDS
NG_048539	NG_048539.1	NG_048539.1	Staphylococcus cohnii BM10711 pIP1714 vat(C) gene for streptogramin A O-acetyltransferase Vat(C), complete CDS
NG_048543	NG_048543.1	NG_048543.1	Enterococcus faecium K14 pIP1803 vat(E) gene for streptogramin A O-acetyltransferase Vat(E), complete CDS
NG_048555	NG_048555.1	NG_048555.1	Staphylococcus aureus 07SA-CLR1 pSA-CLR vga(A) gene for ABC-F type ribosomal protection protein Vga(A), complete CDS
NG_048556	NG_048556.1	NG_048556.1	Staphylococcus aureus pCPS32 vga(A) gene for ABC-F type ribosomal protection protein Vga(A), complete CDS
NG_048557	NG_048557.1	NG_048557.1	Staphylococcus epidermidis S7 pIP1890 vga(A) gene for ABC-F type ribosomal protection protein Vga(A), complete CDS
NG_048558	NG_048558.1	NG_048558.1	Staphylococcus aureus BM3385 pIP1633 vga(B) gene for ABC-F type ribosomal protection protein Vga(B), complete CDS
NG_048559	NG_048559.1	NG_048559.1	Staphylococcus aureus subsp. aureus ST398 pKKS825 vga(C) gene for ABC-F type ribosomal protection protein Vga(C), complete CDS
NG_048564	NG_048564.1	NG_048564.1	Staphylococcus cohnii BM10711 pIP1714 vgb(B) gene for streptogramin B lyase Vgb(B), complete CDS
NG_048588	NG_048588.1	NG_048588.1	Klebsiella pneumoniae unnamed blaACC gene for cephalosporin-hydrolyzing class C beta-lactamase ACC-1, complete CDS
NG_048628	NG_048628.1	NG_048628.1	Escherichia coli 882 EBC882 blaACT gene for cephalosporin-hydrolyzing class C beta-lactamase ACT-5, complete CDS
NG_048629	NG_048629.1	NG_048629.1	Klebsiella pneumoniae 701 EBC701 blaACT gene for cephalosporin-hydrolyzing class C beta-lactamase ACT-6, complete CDS
NG_048630	NG_048630.1	NG_048630.1	Klebsiella pneumoniae 1464 EBC1464 blaACT gene for cephalosporin-hydrolyzing class C beta-lactamase ACT-7, complete CDS
NG_048632	NG_048632.1	NG_048632.1	Pantoea agglomerans PA1 pTV1422 blaACT gene for cephalosporin-hydrolyzing class C beta-lactamase ACT-9, complete CDS
NG_048707	NG_048707.1	NG_048707.1	Serratia marcescens pRio-5 blaBES gene for class A extended spectrum beta-lactamase BES-1, complete CDS
NG_048710	NG_048710.1	NG_048710.1	Klebsiella pneumoniae A60136 p60136 blaBKC gene for carbapenem-hydrolyzing class A beta-lactamase BKC-1, complete CDS
NG_048718	NG_048718.1	NG_048718.1	Psychrobacter maritimus MR29-12 pKLH80 blaRTG gene for RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16, complete CDS
NG_048742	NG_048742.1	NG_048742.1	Pseudomonas aeruginosa p83372 pUD12 blaPSE gene for PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-4, complete CDS
NG_048751	NG_048751.1	NG_048751.1	Vibrio cholerae non O1, non O139 uncharacterized blaPSE gene for PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-6, complete CDS
NG_048757	NG_048757.1	NG_048757.1	Escherichia coli KU6400 plasmid blaCFE gene for CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase CFE-1, complete CDS
NG_048766	NG_048766.1	NG_048766.1	Enterobacter cloacae 6 unnamed blaCMH gene for class C beta-lactamase CMH-1, complete CDS
NG_048768	NG_048768.1	NG_048768.1	Klebsiella pneumoniae CHO pMVP-1 blaMOX gene for class C beta-lactamase CMY-1, complete CDS
NG_048777	NG_048777.1	NG_048777.1	Escherichia coli EL-495 pEL495 blaCMY gene for class C beta-lactamase CMY-107, complete CDS
NG_048799	NG_048799.1	NG_048799.1	Escherichia coli p541 blaCMY gene for class C beta-lactamase CMY-13, complete CDS
NG_048807	NG_048807.1	NG_048807.1	Escherichia coli CNR1238 unnamed blaCMY gene for class C beta-lactamase CMY-139, complete CDS
NG_048811	NG_048811.1	NG_048811.1	Escherichia coli unnamed blaCMY gene for class C beta-lactamase CMY-17, complete CDS
NG_048819	NG_048819.1	NG_048819.1	Escherichia coli DM1759/05 CMY-24 blaCMY gene for class C beta-lactamase CMY-24, complete CDS
NG_048831	NG_048831.1	NG_048831.1	Klebsiella pneumoniae HP205 pH205 blaCMY gene for class C beta-lactamase CMY-36, complete CDS
NG_048838	NG_048838.1	NG_048838.1	Escherichia coli pK0739377 blaCMY gene for class C beta-lactamase CMY-43, complete CDS
NG_048845	NG_048845.1	NG_048845.1	Klebsiella oxytoca KH11 pTKH11 blaCMY gene for class C beta-lactamase CMY-5, complete CDS
NG_048848	NG_048848.1	NG_048848.1	Escherichia coli unnamed blaCMY gene for class C beta-lactamase CMY-53, complete CDS
NG_048849	NG_048849.1	NG_048849.1	Escherichia coli 71041 unnamed blaCMY gene for class C beta-lactamase CMY-54, complete CDS
NG_048850	NG_048850.1	NG_048850.1	Escherichia coli 71047 unnamed blaCMY gene for class C beta-lactamase CMY-55, complete CDS
NG_048851	NG_048851.1	NG_048851.1	Klebsiella pneumoniae 34012 pHVH-2385 blaCMY gene for class C beta-lactamase CMY-56, complete CDS
NG_048853	NG_048853.1	NG_048853.1	Escherichia coli 10158/10184 unnamed blaCMY gene for class C beta-lactamase CMY-58, complete CDS
NG_048854	NG_048854.1	NG_048854.1	Escherichia coli EC-19 megaplasmid, unnamed blaCMY gene for class C beta-lactamase CMY-59, complete CDS
NG_048856	NG_048856.1	NG_048856.1	Escherichia coli 08515 unknown blaCMY gene for class C beta-lactamase CMY-60, complete CDS
NG_048857	NG_048857.1	NG_048857.1	Escherichia coli N8091181 unknown blaCMY gene for class C beta-lactamase CMY-61, complete CDS
NG_048858	NG_048858.1	NG_048858.1	Escherichia coli 09044 unknown blaCMY gene for class C beta-lactamase CMY-62, complete CDS
NG_048861	NG_048861.1	NG_048861.1	Citrobacter sp. 913 unknown blaCMY gene for class C beta-lactamase CMY-65, complete CDS
NG_048865	NG_048865.1	NG_048865.1	Escherichia coli 9592 p9592CMY blaCMY gene for class C beta-lactamase CMY-69, complete CDS
NG_048877	NG_048877.1	NG_048877.1	Klebsiella pneumoniae KPW142 pKPW142 blaMOX gene for CMY-1/MOX family class C extended-spectrum beta-lactamase CMY-8, complete CDS
NG_048887	NG_048887.1	NG_048887.1	Klebsiella pneumoniae KPN3337 pIP605 blaMOX gene for CMY-1/MOX family class C beta-lactamase CMY-8b, complete CDS
NG_048888	NG_048888.1	NG_048888.1	Escherichia coli HKYM68 pCMXR1 blaMOX gene for CMY-1/MOX family class C extended-spectrum beta-lactamase CMY-9, complete CDS
NG_048897	NG_048897.1	NG_048897.1	Escherichia coli GRI-1 pMVP-3 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-1, complete CDS
NG_048898	NG_048898.1	NG_048898.1	Klebsiella pneumoniae Kp4aC pRYCE21 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-10, complete CDS
NG_048899	NG_048899.1	NG_048899.1	Escherichia coli NMI:5115/09 pCTX-M-100 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-100, complete CDS
NG_048904	NG_048904.1	NG_048904.1	Escherichia coli RD125 pRD125 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-105, complete CDS
NG_048910	NG_048910.1	NG_048910.1	Acinetobacter baumannii B-5 IncA/C blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-115, complete CDS
NG_048911	NG_048911.1	NG_048911.1	Proteus mirabilis K-27 unknown blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-116, complete CDS
NG_048912	NG_048912.1	NG_048912.1	Escherichia coli RD142 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-117, complete CDS
NG_048914	NG_048914.1	NG_048914.1	Escherichia coli FKP165 pFKP165 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-121, complete CDS
NG_048915	NG_048915.1	NG_048915.1	Escherichia coli PYMP36-1 pPYMP36-1 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-122, complete CDS
NG_048916	NG_048916.1	NG_048916.1	Escherichia coli FKP358 pFKP358 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-123, complete CDS
NG_048918	NG_048918.1	NG_048918.1	Enterobacter cloacae 08-175 pHS24 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-125, complete CDS
NG_048920	NG_048920.1	NG_048920.1	Escherichia coli CBPC5 pHNZL1 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-129, complete CDS
NG_048921	NG_048921.1	NG_048921.1	Klebsiella pneumoniae ACH17 pOZ175 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-13, complete CDS
NG_048922	NG_048922.1	NG_048922.1	Escherichia coli YJCC4 pHNZL2 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-130, complete CDS
NG_048926	NG_048926.1	NG_048926.1	Proteus mirabilis K-28 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-136, complete CDS
NG_048929	NG_048929.1	NG_048929.1	Escherichia coli ACH13 pOZ174 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-14, complete CDS
NG_048932	NG_048932.1	NG_048932.1	Escherichia coli SZC10 pHNSZC10 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-144, complete CDS
NG_048934	NG_048934.1	NG_048934.1	Escherichia coli Echg0 pHN112121 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-148, complete CDS
NG_048955	NG_048955.1	NG_048955.1	Klebsiella pneumoniae BM4493 pIP843 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-17, complete CDS
NG_048956	NG_048956.1	NG_048956.1	Escherichia coli 1126619 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-170, complete CDS
NG_048968	NG_048968.1	NG_048968.1	Salmonella enterica subsp. enterica serovar Typhimurium CAS-5 pMVP-4 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-2, complete CDS
NG_048980	NG_048980.1	NG_048980.1	Citrobacter freundii pCTX-M30 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-30, complete CDS
NG_048982	NG_048982.1	NG_048982.1	Escherichia coli pMC-2 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-32, complete CDS
NG_048983	NG_048983.1	NG_048983.1	Escherichia coli pGR2439 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-33, complete CDS
NG_048986	NG_048986.1	NG_048986.1	Escherichia coli pHSG-1 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-36, complete CDS
NG_048987	NG_048987.1	NG_048987.1	Enterobacter cloacae pCTX-M-37 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-37, complete CDS
NG_048988	NG_048988.1	NG_048988.1	Klebsiella pneumoniae kp462 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-38, complete CDS
NG_048990	NG_048990.1	NG_048990.1	Salmonella enterica subsp. enterica serovar Typhimurium pMSL blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-4, complete CDS
NG_048993	NG_048993.1	NG_048993.1	Escherichia coli pCTX-M42 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-42, complete CDS
NG_048996	NG_048996.1	NG_048996.1	Klebsiella pneumoniae Kpn301 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-46, complete CDS
NG_048997	NG_048997.1	NG_048997.1	Escherichia coli Eco182 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-47, complete CDS
NG_048998	NG_048998.1	NG_048998.1	Klebsiella pneumoniae Kpn9 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-48, complete CDS
NG_048999	NG_048999.1	NG_048999.1	Klebsiella pneumoniae Kpn247 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-49, complete CDS
NG_049001	NG_049001.1	NG_049001.1	Klebsiella pneumoniae Kpn52 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-50, complete CDS
NG_049002	NG_049002.1	NG_049002.1	Escherichia coli pMSP520 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-51, complete CDS
NG_049003	NG_049003.1	NG_049003.1	Klebsiella pneumoniae unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-52, complete CDS
NG_049004	NG_049004.1	NG_049004.1	Salmonella enterica subsp. enterica serovar Westhampton 05-686 pWES-1 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-53, complete CDS
NG_049010	NG_049010.1	NG_049010.1	Salmonella enterica subsp. enterica serovar Typhimurium pAS30 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-6, complete CDS
NG_049013	NG_049013.1	NG_049013.1	Klebsiella pneumoniae pJIE137 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-62, complete CDS
NG_049017	NG_049017.1	NG_049017.1	Proteus mirabilis PM341/03 pPM341/03 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-66, complete CDS
NG_049018	NG_049018.1	NG_049018.1	Escherichia coli eco2865 unnamed blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-67, complete CDS
NG_049021	NG_049021.1	NG_049021.1	Salmonella enterica subsp. enterica serovar Typhimurium pAS31 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-7, complete CDS
NG_049023	NG_049023.1	NG_049023.1	Klebsiella pneumoniae AH24-270 pAH24-270 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-71, complete CDS
NG_049024	NG_049024.1	NG_049024.1	Klebsiella pneumoniae Kpn308 pKP308 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-72, complete CDS
NG_049032	NG_049032.1	NG_049032.1	Citrobacter amalonaticus Rio-2 pRio-2 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-8, complete CDS
NG_049040	NG_049040.1	NG_049040.1	Escherichia coli pKP168 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-87, complete CDS
NG_049043	NG_049043.1	NG_049043.1	Escherichia coli 785-D pMSP071 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-9, complete CDS
NG_049047	NG_049047.1	NG_049047.1	Escherichia coli Bre-1 pNBRE-1 blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-93, complete CDS
NG_049057	NG_049057.1	NG_049057.1	Proteus mirabilis wild type plasmid blaDHA gene for class C beta-lactamase DHA-12, complete CDS
NG_049070	NG_049070.1	NG_049070.1	Klebsiella oxytoca CNR1240 unnamed blaDHA gene for class C beta-lactamase DHA-24, complete CDS
NG_049071	NG_049071.1	NG_049071.1	Klebsiella pneumoniae pKP3 blaDHA gene for class C beta-lactamase DHA-3, complete CDS
NG_049074	NG_049074.1	NG_049074.1	Escherichia coli 30021 pHVH-2885 blaDHA gene for class C beta-lactamase DHA-6, complete CDS
NG_049075	NG_049075.1	NG_049075.1	Enterobacter cloacae 30034 pHVH-1986 blaDHA gene for class C beta-lactamase DHA-7, complete CDS
NG_049099	NG_049099.1	NG_049099.1	Klebsiella pneumoniae 10982 p10982FOX blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-10, complete CDS
NG_049101	NG_049101.1	NG_049101.1	Providencia rettgeri 2032rut pHVH2032 blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-13, complete CDS
NG_049102	NG_049102.1	NG_049102.1	Escherichia coli BW U2206 pMVP-7 blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-2, complete CDS
NG_049105	NG_049105.1	NG_049105.1	Klebsiella pneumoniae p5064 blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-5, complete CDS
