Supplementary Data 5. Plasmid metadata,,,,,,,,,,,,,,,,,,,,,
AccessionVersion,SourceDB,MoleculeType,SeqName,Size,Topology,UpdateDate,Title,TaxId,TaxName,TaxSuperkingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpecies,MOB(1),PFinder_80 (2),PFinder_95 (3),Filtered (4),
NC_019313.1,refseq,Plasmid,pHRC017,298356,circular,09-SEP-2015,"Sinorhizobium meliloti plasmid pHRC017, complete sequence",382,Sinorhizobium meliloti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,-,-,-,No,
NC_019424.1,refseq,Plasmid,pFOS-HK151325,69768,circular,09-SEP-2015,"Escherichia coli plasmid pFOS-HK151325, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFII,IncFII,No,
NC_000923.1,refseq,Plasmid,pRAY,6076,circular,23-SEP-2015,"Acinetobacter sp. SUN resistance plasmid pRAY, complete genome",61312,Acinetobacter sp. SUN,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. SUN,MOBP,-,-,No,
NC_011410.1,refseq,Plasmid,pFPTB1,12656,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pFPTB1 delta tnpA, ORF294, tetA, tetR, blaTEM, tnpR and tnp genes",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,-,-,-,No,
NC_012033.1,refseq,Plasmid,pMWHK1,6206,circular,23-SEP-2015,"Pedobacter sp. BG5 plasmid pMWHK01, complete sequence",524386,Pedobacter sp. BG5,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. BG5,MOBP,-,-,No,
NC_019277.1,refseq,Plasmid,pP60P1,5435,circular,23-SEP-2015,"Psychrobacter sp. DAB_AL60 plasmid pP60P1, complete sequence",1028419,Psychrobacter sp. DAB_AL60,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. DAB_AL60,MOBP,-,-,No,
NC_019293.1,refseq,Plasmid,pP109bwP1,4402,circular,23-SEP-2015,"Psychrobacter sp. DAB_AL109bw plasmid pP109bwP1, complete sequence",1028409,Psychrobacter sp. DAB_AL109bw,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. DAB_AL109bw,MOBP,-,-,No,
NC_019305.1,refseq,Plasmid,pP43BP4,6450,circular,23-SEP-2015,"Psychrobacter sp. DAB_AL43B plasmid pP43BP4, complete sequence",1028416,Psychrobacter sp. DAB_AL43B,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. DAB_AL43B,MOBP,-,-,No,
NC_019426.1,refseq,Plasmid,pZM3H1,31370,circular,23-SEP-2015,"Halomonas sp. ZM3 plasmid pZM3H1, complete sequence",1250400,Halomonas sp. ZM3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. ZM3,MOBV,-,-,No,
NC_021229.1,refseq,Plasmid,pAO1,165137,linear,23-SEP-2015,"Arthrobacter nicotinovorans pAO1 megaplasmid sequence, strain ATCC 49919",29320,Paenarthrobacter nicotinovorans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter nicotinovorans,MOBP,-,-,No,
NC_022267.1,refseq,Plasmid,pS1400_89,89566,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Enteritidis strain S1400/94 plasmid pS1400_89, complete sequence",149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,IncI1,IncI1,No,
NC_022372.1,refseq,Plasmid,pYT3,121723,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pYT3 DNA, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBH,IncFIB(AP001918),IncFIB(AP001918),No,
NC_022522.2,refseq,Plasmid,p1643_10,167779,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Kentucky strain 1643/10 plasmid p1643_10, complete sequence",192955,Salmonella enterica subsp. enterica serovar Kentucky,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBH,IncA/C2;IncQ1,IncA/C2;IncQ1,No,
NC_023275.1,refseq,Plasmid,p9134,133802,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium strain 9134 plasmid p9134, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,IncI1,IncI1,No,
NC_023276.1,refseq,Plasmid,p9134dAT,109512,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium strain 9134 plasmid p9134dAT, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,IncI1,IncI1,No,
NC_023290.1,refseq,Plasmid,p9134dT,127291,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium strain 9134 plasmid p9134dT, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,IncFIB(S);IncI1,IncFIB(S);IncI1,No,
NC_024983.1,refseq,Plasmid,pSTm-A54650,309406,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSTm-A54650, strain A54560, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBH,IncHI2;IncHI2A;RepA,IncHI2;IncHI2A,No,
NC_024990.1,refseq,Plasmid,pTDC-A,27115,circular,23-SEP-2015,"Tetragenococcus halophilus plasmid pTDC-A DNA, complete sequence, strain: TyrA",51669,Tetragenococcus halophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus,MOBQ,-,-,No,
NC_024991.1,refseq,Plasmid,pTDC-B,28689,circular,23-SEP-2015,"Tetragenococcus halophilus plasmid pTDC-B DNA, complete sequence, strain: TyrB",51669,Tetragenococcus halophilus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus,MOBQ,-,-,No,
NC_024992.1,refseq,Plasmid,pKp848CTX,182204,circular,23-SEP-2015,"Klebsiella pneumoniae plasmid pKp848CTX, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,MOBF,IncFIB(K);IncFII(K),IncFIB(K);IncFII(K),No,
NC_025148.1,refseq,Plasmid,pCTXM5-891,12391,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pCTXM5-891, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,ColRNAI,-,No,
NC_025149.1,refseq,Plasmid,pCTXM5-1358,8216,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pCTXM5-1358, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,ColRNAI,-,No,
NC_025150.1,refseq,Plasmid,pCTXM5-1845,8215,circular,23-SEP-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pCTXM5-1845, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,ColRNAI,-,No,
NC_025068.1,refseq,Plasmid,pRAY*,6078,circular,23-SEP-2015,"Acinetobacter baumannii strain D36 gentamicin resistance plasmid pRAY* clone GC1, complete sequence",470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,MOBP,-,-,No,
NC_025109.1,refseq,Plasmid,pA85-3,86335,circular,23-SEP-2015,"Acinetobacter baumannii strain A85 plasmid pA85-3 clone GC1 AbaR4 resistance island, complete sequence",470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,MOBF,-,-,No,
NC_023314.1,refseq,Plasmid,pKPS30,61228,circular,28-SEP-2015,"Klebsiella pneumoniae plasmid pKPS30, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,IncR,IncR,No,
NC_021624.2,refseq,Plasmid,lp150,148497,linear,30-SEP-2015,"Borrelia turicatae 91E135 plasmid lp150, partial sequence",314724,Borrelia turicatae 91E135,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia turicatae,-,-,-,No,
NC_022565.1,refseq,Plasmid,ABIBUN107mP1,8731,circular,06-OCT-2015,Acinetobacter baumannii 107m plasmid p1ABIBUN complete genome,1149135,Acinetobacter baumannii 107m,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,-,-,-,No,
NC_010311.1,refseq,Plasmid,pSHK1,187263,linear,07-OCT-2015,"Streptomyces sp. HK1 plasmid pSHK1, complete sequence",405041,Streptomyces sp. HK1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. HK1,MOBC,-,-,No,
NC_025106.1,refseq,Plasmid,pMC-NDM,87619,circular,14-OCT-2015,"Escherichia coli strain NMI5428/11 plasmid pMC-NDM, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFII,IncFII,No,
NC_025161.1,refseq,Plasmid,pNAL8M,4910,circular,14-OCT-2015,Bifidobacterium longum pNAL8M plasmid,216816,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,-,-,-,No,
NC_025162.1,refseq,Plasmid,pNAL8L,3489,circular,14-OCT-2015,Bifidobacterium longum pNAL8L plasmid,216816,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,-,-,-,No,
NC_025190.1,refseq,Plasmid,pCTXM5-637,7438,circular,15-NOV-2015,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pCTXM5-637, complete sequence",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,MOBP,ColRNAI,-,No,
NC_021158.1,refseq,Plasmid,pKLH80,14835,circular,15-NOV-2015,"Psychrobacter maritimus plasmid pKLH80, strain MR29-12, complete sequence",256325,Psychrobacter maritimus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter maritimus,MOBP,-,-,No,
NC_010558.1,refseq,Plasmid,pIP1206,168113,circular,24-NOV-2015,"Escherichia coli plasmid pIP1206, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,IncFIA;IncFIB(AP001918);IncFII;IncFII,IncFIA;IncFIB(AP001918);IncFII;IncFII,No,
NC_011376.1,refseq,Plasmid,pRJF2,2970,circular,24-NOV-2015,"Plasmid pRJF2 from Butyrivibrio fibrisolvens, complete sequence",35400,Plasmid pRJF2,-,-,-,-,-,-,Plasmid pRJF2,-,-,-,No,
NC_011377.1,refseq,Plasmid,pRJF1,2631,circular,24-NOV-2015,"Butyrivibrio fibrisolvens OB157 plasmid pRJF1, complete sequence",889972,Butyrivibrio fibrisolvens OB157,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,-,-,-,No,
NC_002126.1,refseq,Plasmid,pMD136,19533,circular,24-NOV-2015,"Pediococcus pentosaceus plasmid pMD136, complete sequence",1255,Pediococcus pentosaceus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,MOBP,-,-,No,
NC_001382.1,refseq,Plasmid,Plasmid pADB201,1717,circular,24-NOV-2015,"Plasmid pADB201 (from Mycoplasma mycoides), complete genome",2102,Mycoplasma mycoides,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mycoides,-,-,-,No,
NC_020086.1,refseq,Plasmid,pE66An,80105,circular,24-NOV-2015,"Escherichia coli plasmid pE66An, complete sequence",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBF,ColRNAI;FII(pBK30683);IncN,IncN,No,
NC_020087.1,refseq,Plasmid,pK1HV,133191,circular,24-NOV-2015,"Klebsiella pneumoniae plasmid pK1HV, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,MOBF,IncFII(K),IncFII(K),No,
NC_020991.1,refseq,Plasmid,pKHSB1,94089,circular,24-NOV-2015,Shigella sonnei 10188 plasmid pKHSB1 complete sequence,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,MOBP,IncI1,IncI1,No,
NC_021502.1,refseq,Plasmid,pKPoxa-48N2,167203,circular,24-NOV-2015,"Klebsiella pneumoniae plasmid pKPoxa-48N2, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,MOBF;MOBP,IncFIA(HI1);IncFII(K);IncL/M(pOXA-48),IncFIA(HI1);IncFII(K);IncL/M(pOXA-48),No,
NC_023330.1,refseq,Plasmid,pKPS77,45867,circular,02-DEC-2015,"Klebsiella pneumoniae strain KPS77 plasmid pKPS77, complete sequence",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,IncR,IncR,No,
NC_028653.1,refseq,Plasmid,-,67617,linear,17-DEC-2015,"Gordonia phage GTE8, complete genome",1647475,Gordonia phage GTE8,Viruses,-,-,Caudovirales,Podoviridae,-,Gordonia phage GTE8,-,-,-,No,
NC_028665.1,refseq,Plasmid,-,56982,linear,17-DEC-2015,"Gordonia phage GTE6, complete genome",1647474,Gordonia phage GTE6,Viruses,-,-,Caudovirales,Podoviridae,-,Gordonia phage GTE6,-,-,-,No,
NC_002132.1,refseq,Plasmid,plasmid pFL1,2311,circular,25-JAN-2016,"Flavobacterium sp. KP1 plasmid pFL1 DNA, complete sequence",932218,Flavobacterium sp. KP1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. KP1,MOBV,repUS6,repUS6,No,
NC_022742.1,refseq,Plasmid,II,88546,circular,27-JAN-2016,Escherichia coli HUSEC2011 plasmid pHUSEC2011-1 complete sequence,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,MOBP,IncI1,IncI1,No,
NC_022743.1,refseq,Plasmid,III,75569,circular,27-JAN-2016,Escherichia coli HUSEC2011 plasmid pHUSEC2011-2 complete sequence,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,IncFIB(AP001918);IncFII(pRSB107),IncFIB(AP001918);IncFII(pRSB107),No,
NC_022741.1,refseq,Plasmid,IV,1549,circular,27-JAN-2016,Escherichia coli HUSEC2011 plasmid pHUSEC2011-3 complete sequence,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,Col(MG828),-,No,
NZ_CP013273.1,refseq,Plasmid,unnamed,25529,circular,27-JAN-2016,"Bacillus thuringiensis strain CTC plasmid, complete sequence",1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,-,-,-,No,
NZ_CP014355.1,refseq,Plasmid,unnamed,37397,circular,27-FEB-2016,"Coxiella burnetii strain 3345937 plasmid, complete sequence",777,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii,-,-,-,No,
NC_005023.1,refseq,Plasmid,pTF5,19792,circular,30-MAR-2016,"Acidithiobacillus ferridurans ATCC 33020 plasmid pTF5, complete sequence",1232575,Acidithiobacillus ferridurans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferridurans,-,-,-,No,
NC_021207.1,refseq,Plasmid,pTP1,3126,circular,30-MAR-2016,"Thermococcus prieurii plasmid pTP1, complete sequence",1128108,Thermococcus prieurii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus prieurii,-,-,-,No,
NC_021208.1,refseq,Plasmid,pTP2,2038,circular,30-MAR-2016,"Thermococcus prieurii plasmid pTP2, complete sequence",1128108,Thermococcus prieurii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus prieurii,-,-,-,No,
NC_017962.1,refseq,Plasmid,2,66247,circular,22-APR-2016,"Enterococcus faecium DO plasmid 2, complete sequence",333849,Enterococcus faecium DO,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,MOBP,rep17;repUS1,rep17;repUS1,No,
NC_017963.1,refseq,Plasmid,3,251926,circular,22-APR-2016,"Enterococcus faecium DO plasmid 3, complete sequence",333849,Enterococcus faecium DO,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,MOBP,repUS15,repUS15,No,
NZ_CP015119.1,refseq,Plasmid,pMT1,103606,circular,12-MAY-2016,"Yersinia pestis strain 125 B plague Bombay plasmid pMT1, complete sequence",632,Yersinia pestis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,-,IncFIB(pHCM2),IncFIB(pHCM2),No,
NC_010553.1,refseq,Plasmid,pBMC401,301592,circular,13-MAY-2016,"Burkholderia ambifaria MC40-6 plasmid pBMC401, complete sequence",398577,Burkholderia ambifaria MC40-6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ambifaria,MOBH,-,-,No,
NC_017961.1,refseq,Plasmid,1,36262,circular,23-MAY-2016,"Enterococcus faecium DO plasmid 1, complete sequence",333849,Enterococcus faecium DO,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,MOBT;MOBV,rep2;repUS12,rep2;repUS12,No,
NG_047055.1,refseq,Plasmid,pSK1,1640,linear,08-JUN-2016,"Staphylococcus aureus SK18 pSK1 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS",1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,-,-,-,Yes,
NG_047212.1,refseq,Plasmid,pGTK3,1640,linear,08-JUN-2016,"Staphylococcus warneri pGTK3 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS",1292,Staphylococcus warneri,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri,-,-,-,Yes,
NG_047217.1,refseq,Plasmid,pMCCL2,1676,linear,08-JUN-2016,"Macrococcus caseolyticus JCSC5402 pMCCL2 gene for bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia, complete CDS",458233,Macrococcus caseolyticus JCSC5402,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus caseolyticus,-,-,-,Yes,
NG_047232.1,refseq,Plasmid,pUO901,665,linear,08-JUN-2016,"Serratia marcescens pUO901 aac(3)-I gene for AAC(3)-I family aminoglycoside 3-N-acetyltransferase, complete CDS",615,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,-,-,-,Yes,
NG_047233.1,refseq,Plasmid,pSEM,665,linear,08-JUN-2016,"Salmonella enterica subsp. enterica serovar Typhimurium pSEM aac(3)-I gene for AAC(3)-I family aminoglycoside 3-N-acetyltransferase, complete CDS",90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,-,-,-,Yes,
NG_047237.1,refseq,Plasmid,Rms149,665,linear,08-JUN-2016,"Pseudomonas aeruginosa Ps142 Rms149 aac(3)-I gene for AAC(3)-I family aminoglycoside 3-N-acetyltransferase, complete CDS",287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,-,-,-,Yes,
NG_047282.1,refseq,Plasmid,p11663,773,linear,08-JUN-2016,"Serratia marcescens 11663 p11663 aac(6')-Ian gene for aminoglycoside N-acetyltransferase AAC(6')-Ian, complete CDS",615,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,-,-,-,Yes,
NG_047286.1,refseq,Plasmid,pJHC-MW1,606,linear,08-JUN-2016,"Klebsiella pneumoniae pJHC-MW1 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,-,-,Yes,
NG_047288.1,refseq,Plasmid,p22K9,755,linear,08-JUN-2016,"Klebsiella pneumoniae p22K9 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,-,-,Yes,
NG_047289.1,refseq,Plasmid,pJHCMW1,606,linear,08-JUN-2016,"Klebsiella pneumoniae pJHCMW1 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,-,-,Yes,
NG_047291.1,refseq,Plasmid,pIP849,755,linear,08-JUN-2016,"Klebsiella pneumoniae BM4686 pIP849 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS",573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,-,-,-,Yes,
NG_047303.1,refseq,Plasmid,pBWH301,659,linear,08-JUN-2016,"[Enterobacter] aerogenes pBWH301 aac(6')-Il gene for aminoglycoside N-acetyltransferase AAC(6')-Il, complete CDS",548,Klebsiella aerogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,-,-,-,Yes,
NG_047305.1,refseq,Plasmid,unnamed,659,linear,08-JUN-2016,"Proteus mirabilis P13 unnamed aac(6')-Il gene for aminoglycoside N-acetyltransferase AAC(6')-Il, complete CDS",584,Proteus mirabilis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,-,-,-,Yes,
NG_047322.1,refseq,Plasmid,pCG8245,977,linear,08-JUN-2016,"Campylobacter jejuni CG8245 pCG8245 aad9 gene for aminoglycoside nucleotidyltransferase ANT9, complete CDS",197,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,-,-,-,Yes,
NG_047324.1,refseq,Plasmid,R6-5,992,linear,08-JUN-2016,"Escherichia coli R6-5 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,-,-,Yes,
NG_047325.1,refseq,Plasmid,R751,992,linear,08-JUN-2016,"Escherichia coli MG-1 R751 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS",562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,-,-,-,Yes,
NG_047328.1,refseq,Plasmid,unnamed,948,linear,08-JUN-2016,"Vibrio fluvialis unnamed aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS",676,Vibrio fluvialis,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio fluvialis,-,-,-,Yes,
NG_047329.1,refseq,Plasmid,R388-R151 hybrid,1034,linear,08-JUN-2016,"Pseudomonas aeruginosa R388-R151 hybrid aadA10 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10, complete CDS",287,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,-,-,-,Yes,
NG_047335.1,refseq,Plasmid,R7K,998,linear,08-JUN-2016,"Providencia rettgeri R7K aadA13 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13, complete CDS",587,Providencia rettgeri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri,-,-,-,Yes,
